20 20 232
0 0 0 0 19 7 14 0 5 0 0 14 0 12 1 0 13 3 5 11 
2 12 19 11 0 0 3 9 5 13 13 7 13 8 0 0 0 12 7 0 
18 19 0 18 0 0 16 13 9 19 6 7 0 4 19 16 0 0 13 0 
0 0 7 15 13 1 0 0 17 8 0 6 1 4 7 0 8 0 0 2 
0 19 0 0 0 7 4 19 0 14 0 0 0 10 13 0 0 11 3 16 
11 2 0 7 0 0 0 0 0 0 15 19 0 9 1 11 4 2 19 1 
0 0 0 11 7 0 0 5 10 0 1 2 0 0 14 0 4 9 14 9 
0 0 6 19 16 18 19 0 8 19 0 15 9 7 15 0 0 4 0 0 
2 0 2 8 0 0 0 12 14 15 0 0 13 18 8 12 7 0 0 0 
18 0 12 17 6 0 0 0 1 4 0 0 0 7 0 14 0 1 17 11 
0 4 0 18 0 13 0 0 15 2 0 0 9 16 0 19 0 0 12 14 
0 16 10 6 0 0 6 12 7 10 3 0 0 0 0 0 9 16 17 12 
10 2 18 2 0 0 0 0 0 0 0 13 0 9 16 9 16 0 19 18 
0 0 18 0 18 14 9 0 1 19 15 13 16 0 0 1 2 0 0 0 
11 4 17 0 0 0 6 4 1 0 0 6 17 13 0 19 2 8 0 19 
0 3 7 15 0 0 17 9 0 0 0 15 2 8 0 0 10 19 0 9 
17 0 0 3 0 16 11 0 0 3 13 2 0 7 0 17 19 15 8 0 
6 0 0 0 8 17 0 5 11 0 8 0 8 0 0 4 0 4 1 1 
0 11 0 0 18 9 18 4 0 12 0 0 0 13 16 1 0 1 7 8 
0 19 0 8 6 0 18 0 17 0 2 10 2 0 0 9 7 15 0 15 
