30 30 305
17 0 0 0 0 15 8 0 0 16 0 0 17 0 0 0 0 3 0 0 0 0 0 7 0 13 0 5 1 0 
0 11 0 0 0 9 1 0 0 0 0 0 0 0 1 0 0 0 12 0 2 0 0 0 0 0 0 0 0 12 
0 17 0 0 0 0 17 0 0 16 0 1 19 0 0 0 0 0 0 0 0 14 12 0 9 5 0 0 0 9 
0 4 0 0 0 0 0 0 5 0 4 19 13 0 0 0 0 11 0 0 0 9 19 13 0 0 0 0 0 0 
0 0 2 0 0 0 0 7 18 0 0 0 17 0 0 0 0 3 8 0 8 16 0 7 4 5 0 0 0 0 
0 18 5 0 0 0 0 0 2 0 0 14 0 0 0 5 1 7 0 0 0 14 0 2 0 0 8 14 0 0 
2 19 0 0 13 19 0 0 10 0 0 0 0 0 0 0 18 10 16 0 0 14 0 14 0 0 14 0 0 0 
7 0 0 0 6 0 17 0 16 0 8 0 0 0 0 15 5 0 0 4 11 15 0 0 14 0 0 4 0 19 
0 0 16 0 0 6 0 0 0 0 0 0 13 0 0 0 8 17 0 0 13 11 0 0 0 0 0 0 0 3 
0 8 0 0 0 0 0 0 0 0 16 0 1 17 0 11 12 0 0 4 2 0 0 0 0 0 0 18 13 0 
0 6 1 0 0 14 9 0 0 0 18 0 0 0 0 0 0 1 0 0 0 0 13 9 0 11 0 0 0 0 
0 1 4 0 0 0 0 14 0 4 0 4 0 0 0 0 0 0 3 17 0 15 4 0 5 5 0 0 0 0 
0 0 0 12 0 0 0 0 5 0 0 0 0 0 0 12 0 0 8 0 15 0 13 16 0 0 6 18 0 9 
0 13 5 0 0 13 16 0 0 18 0 0 0 14 0 2 0 0 0 0 0 10 0 0 2 1 0 0 0 0 
0 0 0 0 0 9 0 5 0 0 5 0 9 1 2 14 0 0 0 13 0 4 2 0 0 0 1 0 10 0 
0 11 4 0 0 12 9 0 0 0 19 18 2 0 0 0 0 2 1 0 0 0 0 9 0 0 0 5 0 16 
0 0 0 0 0 0 0 0 2 5 2 0 7 8 17 18 19 7 9 0 9 15 0 10 0 11 0 0 0 0 
2 16 15 0 3 0 0 13 13 0 3 0 0 0 0 0 0 19 0 0 0 0 0 0 19 0 4 0 0 5 
0 10 0 0 0 0 7 4 0 0 12 0 10 0 0 0 0 18 0 2 12 0 17 3 0 0 0 0 0 19 
16 11 5 0 0 0 17 13 0 0 0 0 0 11 0 9 0 5 18 0 0 0 16 0 0 0 0 0 6 0 
0 0 0 1 0 0 0 0 0 14 12 9 0 6 5 0 0 16 4 0 0 0 0 0 2 0 0 0 0 0 
17 0 18 0 6 0 0 8 8 0 0 18 3 0 18 0 0 0 0 0 0 0 0 0 0 0 17 0 17 0 
0 0 10 0 9 19 0 18 0 0 0 15 4 6 7 0 1 0 0 0 0 0 0 0 16 5 17 0 18 0 
0 12 0 0 0 13 0 5 0 0 0 0 0 0 6 0 12 0 0 7 0 0 0 0 0 0 7 0 0 0 
0 10 0 0 0 0 0 0 0 0 18 0 0 0 13 0 2 0 11 12 0 4 14 6 0 0 0 0 0 17 
0 7 12 0 10 0 0 0 0 5 0 0 0 0 4 0 0 13 7 0 0 0 11 0 0 0 0 1 0 0 
0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 17 0 0 0 14 7 2 0 0 11 9 0 7 0 9 
0 0 0 0 0 0 0 0 5 0 4 0 15 15 0 0 0 18 0 0 0 18 12 8 0 0 0 0 0 0 
4 0 0 0 13 0 5 0 0 0 13 0 0 0 0 0 0 0 0 16 0 0 0 0 0 4 0 0 0 3 
0 19 0 0 0 0 0 0 18 0 0 5 0 15 14 7 0 3 0 0 0 10 0 1 0 0 2 0 14 10 
